# Semihemispheric modelled mole fractions for HFC-152a 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2024-05-29 15:39:20.885178+00:00 
# Units: ppt 
Year,Month,Decimal_date,Semihemispheric_modelled_mole_fractions_box0,Semihemispheric_modelled_mole_fractions_box1,Semihemispheric_modelled_mole_fractions_box2,Semihemispheric_modelled_mole_fractions_box3,Semihemispheric_modelled_mole_fractions_box4,Semihemispheric_modelled_mole_fractions_box5,Semihemispheric_modelled_mole_fractions_box6,Semihemispheric_modelled_mole_fractions_box7,Semihemispheric_modelled_mole_fractions_box8,Semihemispheric_modelled_mole_fractions_box9,Semihemispheric_modelled_mole_fractions_box10,Semihemispheric_modelled_mole_fractions_box11,Semihemispheric_modelled_mole_fractions_1-sigma_box0,Semihemispheric_modelled_mole_fractions_1-sigma_box1,Semihemispheric_modelled_mole_fractions_1-sigma_box2,Semihemispheric_modelled_mole_fractions_1-sigma_box3
1973,1,1973.0,-0.1048296690619425,0.8506979089671167,0.5897654255006698,0.07543940663943899,0.19304529507744733,0.5670540903798584,0.4837590492163729,0.22116131363341265,0.1960465784150374,0.2181020960181154,0.20905882820042707,0.19255872020449114,0.7479700673941958,0.5457041790976229,0.28653830678626085,0.24660276995451796
1973,2,1973.08,-0.03543987595587759,0.7696444543198857,0.5874523211027521,0.08594518417921833,0.19890137105156494,0.47624341503388373,0.4768525577671765,0.20846495294265968,0.2011010295867222,0.21767870560694644,0.2122377466550863,0.19542917519724978,0.48415864022127914,0.5547802375506439,0.2908096153731873,0.22660997758331547
1973,3,1973.17,-0.020589834221431912,0.7170566749039198,0.5772963287420474,0.0885533935654344,0.1972898221752989,0.44778606469624244,0.4722184614762651,0.20890906536657441,0.20441157558360476,0.2175211739431457,0.21434472573369737,0.19838519256501566,0.43594454656698883,0.5389594935931465,0.3119459745602991,0.22455698738715082
1973,4,1973.25,-0.007416592442427139,0.6915537577266652,0.5143563569442279,0.06302414484543764,0.17725366835382844,0.4464217095180376,0.43170707005210773,0.2084234938068203,0.20588531027166113,0.21775662135426155,0.21568438773875886,0.20155444558603716,0.2992334729158114,0.45483698114863635,0.29492335692575705,0.2190325857233884
1973,5,1973.33,0.00033480160378119867,0.6830503661461322,0.4384287377196834,0.019697914196786254,0.17138403816938197,0.4394593912492473,0.369091329751624,0.17313427225584413,0.2059802240753481,0.21796568922881407,0.21564184431751698,0.20392218366766798,0.13276373448006315,0.44671742651799967,0.3043467178968518,0.22272624462369456
1973,6,1973.42,-0.0007444510577223207,0.6731362009647133,0.3869994960482851,-0.024595133182351677,0.16693768293046268,0.4276755805973494,0.31901980521748463,0.1280942189940819,0.20547864855430198,0.2175564268728426,0.21459215127039694,0.20450314245857001,0.06120877754880729,0.4641620356978428,0.33070651289423697,0.2334591314724647
1973,7,1973.5,-0.01265204367458634,0.8752653868946031,0.37393505195485605,0.09409145640080152,0.13256718782890983,0.5906790127077298,0.3155122354771214,0.1494072757501573,0.20429698214991512,0.21837600388880338,0.21315256304308838,0.20400651071268372,0.11194341234685713,0.376510212909977,0.30536693350774524,0.23403132606424906
1973,8,1973.58,-0.006585389387262925,1.1334946900233491,0.41877938359167854,0.27682248219002115,0.14730402991249314,0.8578196409655025,0.42820336540527987,0.2816750370532181,0.20413402883093315,0.22536334695677893,0.21516539699561527,0.206282025676308,0.2253749681519395,0.4055940053359862,0.2945828946552182,0.23154098046043012
1973,9,1973.67,0.032527423839670874,1.3033436645877465,0.5041862186931356,0.4177804798234167,0.2024610890357642,1.0377497042584667,0.559093991771594,0.42010552862920525,0.207989867426462,0.23624445433924732,0.2225897647160471,0.21307735955082938,0.32291605843223575,0.4756361397130735,0.30125253320616785,0.23012739669568605
1973,10,1973.75,0.0009067469575297915,1.2184915013710922,0.6054772312354634,0.3493934747510419,0.311989231399665,1.0282169552802867,0.610713095699307,0.4693278596923511,0.21686161127705075,0.24806172047559863,0.23340338008859113,0.2230752173279988,0.06034597665816712,0.41284238698138515,0.25820530578329287,0.2214129675616357
