# Global annual emissions for HFC-152a 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2024-05-29 15:39:20.974723+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Global_annual_emissions,Global_annual_emissions_1-sigma
1973,6,1973.46,4.338050987499628,1.8898963940841862
1974,6,1974.46,4.465283948530782,1.8448900720010897
1975,6,1975.46,4.703000017441809,1.592949898428416
1976,6,1976.46,4.631457878021365,2.0363822486970777
1977,6,1977.46,4.355974071728724,1.6243301029228387
1978,6,1978.46,4.561187834532575,1.5517880702721611
1979,6,1979.46,4.73178443288873,1.7692825132680907
1980,6,1980.46,4.724400432268226,1.748440438023615
1981,6,1981.46,3.967132829484285,1.829799791036269
1982,6,1982.46,4.874565235869113,1.4235904851592862
1983,6,1983.46,6.325140456519421,1.6117526968606821
1984,6,1984.46,5.476430701401114,2.0206427094332082
1985,6,1985.46,4.984382873314075,1.866808273299826
1986,6,1986.46,4.480161664153229,1.70446261094061
1987,6,1987.46,4.448896135548239,1.7122639632571781
1988,6,1988.46,5.53903301466886,1.5002188657588122
1989,6,1989.46,5.109546738907397,1.5816341082694296
1990,6,1990.46,4.976336040272485,1.5141149607614741
1991,6,1991.46,5.2685852499676145,1.546284813257966
1992,6,1992.46,5.701248575219328,1.6286570077552713
1993,6,1993.46,7.662210394830866,1.4928791987402292
1994,6,1994.46,9.490219204818658,1.5302395940990956
1995,6,1995.46,9.704866556543834,1.3171183289989783
1996,6,1996.46,10.727925272949008,1.3971097824952128
1997,6,1997.46,11.968096705993611,1.5290337560301193
1998,6,1998.46,13.699070384122265,1.7220638142372147
1999,6,1999.46,15.50165346931765,1.895869708751525
2000,6,2000.46,17.150745672623312,2.118655156800717
2001,6,2001.46,18.565448744683156,2.336345922034341
2002,6,2002.46,22.75630043362472,2.6734020150564928
2003,6,2003.46,25.944217187516823,3.119353206192973
2004,6,2004.46,28.908674939449796,3.5146644794420143
2005,6,2005.46,34.57889479138101,4.055709763264261
2006,6,2006.46,41.683252420127005,4.821414226182163
2007,6,2007.46,46.932477417321365,5.639921389006742
2008,6,2008.46,48.17564153494177,6.2436639077513085
2009,6,2009.46,47.441834156127804,6.500470715141083
2010,6,2010.46,51.53584767924563,6.807570212120229
2011,6,2011.46,52.98307001219579,7.180695194069428
2012,6,2012.46,52.07576803543316,7.401451296188114
2013,6,2013.46,50.292188123549884,7.355856572774558
2014,6,2014.46,50.059919557951076,7.275110319453985
2015,6,2015.46,50.13067525976495,7.277407218931421
2016,6,2016.46,51.38162825601905,7.323458261317833
2017,6,2017.46,53.36113804660014,7.515546969310408
2018,6,2018.46,54.71579538615037,7.602420782422093
2019,6,2019.46,55.57620760439891,7.787640308858535
2020,6,2020.46,54.170032275912554,7.83637441088823
2021,6,2021.46,56.81264175008794,7.970031429543996
2022,6,2022.46,56.44331713971193,8.05985394523654
2023,6,2023.46,56.59256776550041,8.109933119412002
2024,6,2024.46,58.50497981466236,8.56000083914232
