# Global annual emissions with no systematic uncertainty for HFC-152a 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2024-05-29 15:39:20.984211+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Global_annual_emissions_with_no_systematic_uncertainty,Global_annual_emissions_with_no_systematic_uncertainty_1-sigma
1973,6,1973.46,4.338050987499628,1.7860572699640362
1974,6,1974.46,4.465283948530782,1.851677513226994
1975,6,1975.46,4.703000017441809,1.4572837154126264
1976,6,1976.46,4.631457878021365,1.9309527939002418
1977,6,1977.46,4.355974071728724,1.5485542346922185
1978,6,1978.46,4.561187834532575,1.3954930851822076
1979,6,1979.46,4.73178443288873,1.6637612578256082
1980,6,1980.46,4.724400432268226,1.6790115466748496
1981,6,1981.46,3.967132829484285,1.765132107077419
1982,6,1982.46,4.874565235869113,1.3079298476244021
1983,6,1983.46,6.325140456519421,1.4868364552010744
1984,6,1984.46,5.476430701401114,1.8617551770382939
1985,6,1985.46,4.984382873314075,1.6578537799162512
1986,6,1986.46,4.480161664153229,1.5603554112563771
1987,6,1987.46,4.448896135548239,1.6952024107379475
1988,6,1988.46,5.53903301466886,1.2677107907125085
1989,6,1989.46,5.109546738907397,1.4062592675002965
1990,6,1990.46,4.976336040272485,1.396083669427074
1991,6,1991.46,5.2685852499676145,1.5221835130528616
1992,6,1992.46,5.701248575219328,1.4847988516940462
1993,6,1993.46,7.662210394830866,1.2634044755643703
1994,6,1994.46,9.490219204818658,1.163271109261839
1995,6,1995.46,9.704866556543834,0.70747709476001
1996,6,1996.46,10.727925272949008,0.6631288093260926
1997,6,1997.46,11.968096705993611,0.6863176885593373
1998,6,1998.46,13.699070384122265,0.6812290571539452
1999,6,1999.46,15.50165346931765,0.6361139263866405
2000,6,2000.46,17.150745672623312,0.6484403514515835
2001,6,2001.46,18.565448744683156,0.6545458037186374
2002,6,2002.46,22.75630043362472,0.6970927176223802
2003,6,2003.46,25.944217187516823,0.7373052061139007
2004,6,2004.46,28.908674939449796,0.7240206538481091
2005,6,2005.46,34.57889479138101,0.7731312724373117
2006,6,2006.46,41.683252420127005,0.7979069096269388
2007,6,2007.46,46.932477417321365,0.8161703518436558
2008,6,2008.46,48.17564153494177,0.8907121105420432
2009,6,2009.46,47.441834156127804,0.8728907031681187
2010,6,2010.46,51.53584767924563,0.9170505782807453
2011,6,2011.46,52.98307001219579,0.9891258335865958
2012,6,2012.46,52.07576803543316,0.964830970756168
2013,6,2013.46,50.292188123549884,0.9467883248395167
2014,6,2014.46,50.059919557951076,0.9293367217061329
2015,6,2015.46,50.13067525976495,0.8984785373787197
2016,6,2016.46,51.38162825601905,0.9229806844782258
2017,6,2017.46,53.36113804660014,0.9451986839450855
2018,6,2018.46,54.71579538615037,0.9332522498454434
2019,6,2019.46,55.57620760439891,0.9499503389117235
2020,6,2020.46,54.170032275912554,0.9139871119523999
2021,6,2021.46,56.81264175008794,0.997664012613067
2022,6,2022.46,56.44331713971193,0.9769704466472975
2023,6,2023.46,56.59256776550041,1.081224336829044
2024,6,2024.46,58.50497981466236,2.409407762429113
