# Global annual mole fraction for HFC-152a 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2024-05-29 15:39:20.916524+00:00 
# Units: ppt 
Year,Month,Decimal_date,Global_annual_mole_fraction,Global_annual_mole_fraction_1-sigma
1973,6,1973.46,0.38679905020799904,0.18801870789561495
1974,6,1974.46,0.4034891344044253,0.15108686026928358
1975,6,1975.46,0.42588303045066755,0.14190460555884277
1976,6,1976.46,0.45492082201456907,0.14751184863122568
1977,6,1977.46,0.4519070828432162,0.1460368026176307
1978,6,1978.46,0.44472138376062503,0.12559504952796594
1979,6,1979.46,0.44655363259905395,0.1263088760735786
1980,6,1980.46,0.45290080766823876,0.10196820877677261
1981,6,1981.46,0.42866354334382417,0.13504778791451996
1982,6,1982.46,0.4124212653834141,0.09623537679671788
1983,6,1983.46,0.563201057940148,0.08903060798690947
1984,6,1984.46,0.5906526246674081,0.1347697936969175
1985,6,1985.46,0.5614815585572803,0.14001826843148407
1986,6,1986.46,0.5167463814079652,0.1224533149133464
1987,6,1987.46,0.4775719041538782,0.1328645814561022
1988,6,1988.46,0.5088842278389659,0.10796194192993387
1989,6,1989.46,0.5480225294076605,0.08079977115366137
1990,6,1990.46,0.5496659326698857,0.0915363017841737
1991,6,1991.46,0.5404144247183401,0.08856955787826543
1992,6,1992.46,0.5605116810571747,0.10360358617994153
1993,6,1993.46,0.6719485465714463,0.0935197873949463
1994,6,1994.46,0.858544185106186,0.0721053170403943
1995,6,1995.46,1.0319039923965583,0.0648153106880354
1996,6,1996.46,1.1327863745699012,0.06478063050244649
1997,6,1997.46,1.2327032998539755,0.06590675668014512
1998,6,1998.46,1.4885784160789222,0.06809508773912959
1999,6,1999.46,1.674364920443992,0.06943517941888708
2000,6,2000.46,1.8476138634242352,0.07252029566419908
2001,6,2001.46,2.087960734344739,0.07709511627873374
2002,6,2002.46,2.3944850913961653,0.08428401119156424
2003,6,2003.46,2.8194069779667004,0.09553135604417688
2004,6,2004.46,3.2376007824072635,0.10567541170832231
2005,6,2005.46,3.7302493078195855,0.11884763577159452
2006,6,2006.46,4.450590923537819,0.13719226660266243
2007,6,2007.46,5.253631005281686,0.1603974924656667
2008,6,2008.46,5.815614724187257,0.17950743397655403
2009,6,2009.46,6.02474132630275,0.18583499642707557
2010,6,2010.46,6.305220109200605,0.19330836057604558
2011,6,2011.46,6.641032314107203,0.2049564344926215
2012,6,2012.46,6.812606587085509,0.20962697120802484
2013,6,2013.46,6.795618202150592,0.20645816042019477
2014,6,2014.46,6.700969234128112,0.20682878180956435
2015,6,2015.46,6.675040804401054,0.20506657299048744
2016,6,2016.46,6.730164901029124,0.2061380626024812
2017,6,2017.46,6.8520026914142065,0.212997071919162
2018,6,2018.46,7.030259167043266,0.21686874833512784
2019,6,2019.46,7.17513855254927,0.21937537637072674
2020,6,2020.46,7.2063486773383145,0.22067427528441633
2021,6,2021.46,7.301668277973389,0.2261549950199252
2022,6,2022.46,7.440774022047775,0.23085219314543892
2023,6,2023.46,7.445573765527136,0.22864702207368634
2024,6,2024.46,7.596248514888912,0.25524109369175
