# Global annual mole fraction Jan for HFC-134a 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2024-05-29 15:34:22.282774+00:00 
# Units: ppt 
Year,Month,Decimal_date,Global_annual_mole_fraction_Jan,Global_annual_mole_fraction_Jan_1-sigma
1973,12,1973.96,0.571402991733311,0.8408131721073936
1974,12,1974.96,0.6178674938427725,0.7798651234619507
1975,12,1975.96,0.6475519638057261,0.6014703923699994
1976,12,1976.96,0.6727297260409184,0.5934074911971298
1977,12,1977.96,0.6964610410856071,0.5163987168903835
1978,12,1978.96,0.6977930730818814,0.5303040362248342
1979,12,1979.96,0.6750365914161627,0.5033820722567451
1980,12,1980.96,0.6491768680947361,0.5249028945552864
1981,12,1981.96,0.6513187448427508,0.5679642851301273
1982,12,1982.96,0.6677666998916961,0.41263837180566093
1983,12,1983.96,0.6685463544067015,0.45988261831027516
1984,12,1984.96,0.6788502341653766,0.47101818323745115
1985,12,1985.96,0.6761872023065044,0.4214466473189591
1986,12,1986.96,0.6662243622482265,0.44448013465012276
1987,12,1987.96,0.6686452555743688,0.44812481682181216
1988,12,1988.96,0.6755904492743662,0.3653817942160471
1989,12,1989.96,0.6989658585789145,0.3975745878896418
1990,12,1990.96,0.6794932211463108,0.37724254116189576
1991,12,1991.96,0.6423917633626453,0.42997068230832475
1992,12,1992.96,0.7000434436254978,0.43831356363743396
1993,12,1993.96,0.9976450988634221,0.35238079331438527
1994,12,1994.96,1.7199818365837378,0.28389483017142875
1995,12,1995.96,2.845970272573135,0.26478948650119977
1996,12,1996.96,4.597690957256435,0.2641292307556528
1997,12,1997.96,6.600728750565885,0.26055983901689866
1998,12,1998.96,9.570631720813223,0.2644071353511653
1999,12,1999.96,12.808005801037895,0.28744528065129693
2000,12,2000.96,16.232374521434622,0.31477829349927494
2001,12,2001.96,19.81395189944308,0.34712761122775887
2002,12,2002.96,23.824893194512438,0.3914889109343524
2003,12,2003.96,28.103207425788227,0.44527926732899387
2004,12,2004.96,32.53508191821921,0.5041109349169779
2005,12,2005.96,36.85738533611922,0.5599470156298303
2006,12,2006.96,41.12917517020313,0.623138655906237
2007,12,2007.96,45.71195508241967,0.6957386242327724
2008,12,2008.96,50.39412499579132,0.7637300696131175
2009,12,2009.96,55.191356493485806,0.8391760668363598
2010,12,2010.96,60.34870352001513,0.908660627841389
2011,12,2011.96,65.26700953423142,0.9817430727307308
2012,12,2012.96,70.21651297066715,1.0558340871979857
2013,12,2013.96,75.24674147871946,1.1338378548616994
2014,12,2014.96,80.62136549042016,1.216310960284824
2015,12,2015.96,86.32854302699388,1.2977837028060504
2016,12,2016.96,92.52672424871294,1.3896533847052452
2017,12,2017.96,98.77783328251978,1.4870251028992802
2018,12,2018.96,104.59252869458294,1.5738364315826396
2019,12,2019.96,110.23423955571361,1.658894653237542
2020,12,2020.96,115.74370983112732,1.7412215074124824
2021,12,2021.96,121.58253444329483,1.8309132143236548
2022,12,2022.96,126.97012827023907,1.9142379572429902
2023,12,2023.96,132.14218108746073,1.9939591114119772
