# Global annual mole fraction Jan for HFC-143a 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2024-05-29 15:39:19.727415+00:00 
# Units: ppt 
Year,Month,Decimal_date,Global_annual_mole_fraction_Jan,Global_annual_mole_fraction_Jan_1-sigma
1973,12,1973.96,0.13738609776467414,0.2262175701294315
1974,12,1974.96,0.15026211628721167,0.2054355203944814
1975,12,1975.96,0.16246662750380983,0.15829751007064571
1976,12,1976.96,0.17180148659941522,0.14235426438631033
1977,12,1977.96,0.1772895982242777,0.131629095879215
1978,12,1978.96,0.1844798255249613,0.13699958956474226
1979,12,1979.96,0.20001808793331732,0.1276710787154421
1980,12,1980.96,0.21249673930734903,0.1330908528025727
1981,12,1981.96,0.21207194775945218,0.1411717646361238
1982,12,1982.96,0.21391464879554153,0.10608089582107791
1983,12,1983.96,0.21978803210811526,0.11629424934053709
1984,12,1984.96,0.22914147044192248,0.11670039975629459
1985,12,1985.96,0.2645827557769997,0.10890093053754553
1986,12,1986.96,0.3362283771601096,0.11421190173594069
1987,12,1987.96,0.3895894319938744,0.11345371832900875
1988,12,1988.96,0.43584780273263574,0.09318926696593262
1989,12,1989.96,0.48173404075052845,0.10189142633039748
1990,12,1990.96,0.5278360358003505,0.09731371698399238
1991,12,1991.96,0.5591478129789544,0.11291141460346506
1992,12,1992.96,0.5952074239583635,0.11414235645899545
1993,12,1993.96,0.6575459957595012,0.09676684595408125
1994,12,1994.96,0.7536764528533232,0.09757194315989684
1995,12,1995.96,0.9213000231849171,0.0785861578399563
1996,12,1996.96,1.1359267708486713,0.09673881762602024
1997,12,1997.96,1.4489669484597634,0.09354993357204337
1998,12,1998.96,1.815570710742987,0.09756194687761996
1999,12,1999.96,2.2293404935504144,0.11128722724707116
2000,12,2000.96,2.7018337533093724,0.1290011875508186
2001,12,2001.96,3.2830553337087935,0.13724891561219757
2002,12,2002.96,3.923625181322535,0.13722061257579313
2003,12,2003.96,4.588639365454824,0.1390421069048117
2004,12,2004.96,5.316381847241493,0.15666762295827646
2005,12,2005.96,6.1629005893444395,0.1794155606071912
2006,12,2006.96,7.113581024092272,0.20623423401393898
2007,12,2007.96,8.098851318576662,0.2346390911199534
2008,12,2008.96,9.188544217391854,0.2645031018223466
2009,12,2009.96,10.297935184748686,0.29688038337348266
2010,12,2010.96,11.47665613212124,0.3293543954782893
2011,12,2011.96,12.73481398421282,0.3657268651552626
2012,12,2012.96,14.071057735728557,0.4060720740134327
2013,12,2013.96,15.459098978050152,0.44734993057053424
2014,12,2014.96,16.93247501976869,0.48917365552161507
2015,12,2015.96,18.499776345741424,0.5314299929205721
2016,12,2016.96,20.166580680608373,0.5824718019431809
2017,12,2017.96,21.841912479276914,0.6292024690225133
2018,12,2018.96,23.443960183229468,0.676492372158219
2019,12,2019.96,25.06106811594795,0.7249161732440935
2020,12,2020.96,26.684022787574122,0.7698898958356041
2021,12,2021.96,28.38235987755101,0.8164662785636327
2022,12,2022.96,30.09109949604708,0.8697277268292944
2023,12,2023.96,31.852339687095863,0.918552802357668
