# Global annual emissions with no systematic uncertainty for HFC-143a 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2024-05-29 15:39:19.816439+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Global_annual_emissions_with_no_systematic_uncertainty,Global_annual_emissions_with_no_systematic_uncertainty_1-sigma
1973,6,1973.46,0.4120181737441726,2.120688730001975
1974,6,1974.46,0.2757779085522998,1.7808714825609058
1975,6,1975.46,0.24920830664495952,1.440517725710472
1976,6,1976.46,0.1901204293540104,1.9095312932275414
1977,6,1977.46,0.13374964160720992,1.3834233378900207
1978,6,1978.46,0.16697959137331964,1.2436193015636638
1979,6,1979.46,0.3264717800325343,1.3648860065017947
1980,6,1980.46,0.27205489214384215,1.7506811583730124
1981,6,1981.46,0.08754357408929536,1.5341947094729276
1982,6,1982.46,0.06119729064084822,1.464881052383453
1983,6,1983.46,0.09568377172331566,1.3624804624745452
1984,6,1984.46,0.10467807251825434,1.16217984211302
1985,6,1985.46,0.44430455596398133,1.241529474248383
1986,6,1986.46,1.1215985997828284,1.3888911968735929
1987,6,1987.46,0.8480432324697063,1.3172422362516205
1988,6,1988.46,0.9072042224129291,1.28652691949986
1989,6,1989.46,0.8550210316204669,1.3507152276536343
1990,6,1990.46,0.8759042694191095,1.3974022883435586
1991,6,1991.46,0.7858205441736672,1.430842716537967
1992,6,1992.46,0.7950727727718873,1.5288734331572749
1993,6,1993.46,1.123960426474392,1.4587709718213455
1994,6,1994.46,1.464955389264059,1.329877129394717
1995,6,1995.46,2.5686050500271285,1.3168982349133906
1996,6,1996.46,3.170879155758783,1.396669384625868
1997,6,1997.46,4.5750170271878945,1.3230955834343172
1998,6,1998.46,5.443637436539724,1.3610562424481474
1999,6,1999.46,6.130671433139355,1.3147447056652943
2000,6,2000.46,7.266571114850426,1.4146217905453773
2001,6,2001.46,8.905382550982436,1.4205562965158942
2002,6,2002.46,10.147886852334777,1.496219798763583
2003,6,2003.46,10.853041213082653,1.347066191269179
2004,6,2004.46,11.68722228970765,0.6997628724151196
2005,6,2005.46,13.612783036625421,0.6711303981444969
2006,6,2006.46,15.35409679838616,0.5925786450221012
2007,6,2007.46,16.038042146906015,0.6249415995140363
2008,6,2008.46,18.357246199183553,0.6771895266330445
2009,6,2009.46,18.625548813214525,0.7311454087785255
2010,6,2010.46,20.410371405860165,0.8094366290052945
2011,6,2011.46,21.534007063893487,0.8342406430964424
2012,6,2012.46,23.181296126926423,0.8257749783063126
2013,6,2013.46,24.3098194066835,0.8181637589845124
2014,6,2014.46,25.901894940665937,0.860878746502183
2015,6,2015.46,27.724125313699385,0.8952121334001936
2016,6,2016.46,29.602005517632605,0.9366827509909247
2017,6,2017.46,30.62735866561134,0.9761094818443227
2018,6,2018.46,30.278002883249385,1.009806683512216
2019,6,2019.46,30.999057772135686,1.0587635196156544
2020,6,2020.46,31.39962605574756,1.0105135275576462
2021,6,2021.46,33.07126162598256,1.0486919615038661
2022,6,2022.46,33.60101933157253,1.094010237479723
2023,6,2023.46,34.995875801703804,1.2624047954149429
2024,6,2024.46,35.41739725768737,3.0161744888799733
