# Global annual mole fraction for HFC-143a 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2024-05-29 15:39:19.711907+00:00 
# Units: ppt 
Year,Month,Decimal_date,Global_annual_mole_fraction,Global_annual_mole_fraction_1-sigma
1973,6,1973.46,0.1277323136189609,0.2641542282377802
1974,6,1974.46,0.14427418869604844,0.21317003757672381
1975,6,1975.46,0.15546529559380587,0.18922659429745092
1976,6,1976.46,0.16810066530441967,0.14593453829647787
1977,6,1977.46,0.17499977006621373,0.13630815529085297
1978,6,1978.46,0.180619558774625,0.13298819585994157
1979,6,1979.46,0.19208145711225585,0.14200258434308047
1980,6,1980.46,0.2067396085700631,0.11884262539062322
1981,6,1981.46,0.21404594213192082,0.14612681527875662
1982,6,1982.46,0.21008464851613395,0.11827718697538929
1983,6,1983.46,0.2157502246578946,0.1051954354011604
1984,6,1984.46,0.22337103398657424,0.12316505220699916
1985,6,1985.46,0.24250144541167548,0.11577024388948841
1986,6,1986.46,0.2988525075572068,0.10326117512191792
1987,6,1987.46,0.36187622097774313,0.12345739664011508
1988,6,1988.46,0.41494585491606867,0.10013676024807064
1989,6,1989.46,0.4544270351555466,0.09295033873303918
1990,6,1990.46,0.5053556274461005,0.10237466411538251
1991,6,1991.46,0.5467757602633281,0.10050445947144385
1992,6,1992.46,0.573478231116186,0.11616028012466785
1993,6,1993.46,0.6233886470733988,0.1043158196638687
1994,6,1994.46,0.6973905871955433,0.09347714206752447
1995,6,1995.46,0.8321501856672597,0.0879579540609633
1996,6,1996.46,1.0172359168560168,0.08148688974917614
1997,6,1997.46,1.2779991273057287,0.10272001212494279
1998,6,1998.46,1.63071412344482,0.0905756542954401
1999,6,1999.46,2.011679879700327,0.10295256361834974
2000,6,2000.46,2.4589465787335323,0.11535403008633692
2001,6,2001.46,2.9702665740645045,0.1344080818088979
2002,6,2002.46,3.605281379344563,0.13315628748223857
2003,6,2003.46,4.250303304660559,0.13485367284561153
2004,6,2004.46,4.9362470652982955,0.14699203399248792
2005,6,2005.46,5.722133413169786,0.1670625135569178
2006,6,2006.46,6.6302054145326546,0.19228950343721138
2007,6,2007.46,7.593441192219756,0.22019298108473764
2008,6,2008.46,8.637392100115857,0.2499825817126758
2009,6,2009.46,9.739526620196221,0.28010120393294247
2010,6,2010.46,10.880356618353618,0.31349347367642355
2011,6,2011.46,12.087562842315789,0.34527892905259344
2012,6,2012.46,13.401412548916442,0.3867315285824676
2013,6,2013.46,14.750312301345348,0.4262887000453824
2014,6,2014.46,16.185639857668075,0.4686444027165523
2015,6,2015.46,17.699815291816268,0.5099599829167201
2016,6,2016.46,19.320774025155323,0.5568943501479826
2017,6,2017.46,21.01701646355089,0.60570053632432
2018,6,2018.46,22.64582566754332,0.6521489184254222
2019,6,2019.46,24.253513280367912,0.7015830998651609
2020,6,2020.46,25.868823064624355,0.7480234725202036
2021,6,2021.46,27.524803046293126,0.7926688898417921
2022,6,2022.46,29.23148888257643,0.8420673576439076
2023,6,2023.46,30.962058283711738,0.8936558856955527
2024,6,2024.46,32.73292669555831,0.948195841634702
