# Global annual emissions for HFC-143a 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2024-05-29 15:39:19.809065+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Global_annual_emissions,Global_annual_emissions_1-sigma
1973,6,1973.46,0.4120181737441726,2.188345595711993
1974,6,1974.46,0.2757779085522998,1.7370058305015943
1975,6,1975.46,0.24920830664495952,1.5210341483960632
1976,6,1976.46,0.1901204293540104,1.9589308420329026
1977,6,1977.46,0.13374964160720992,1.420704745861815
1978,6,1978.46,0.16697959137331964,1.2578376126011246
1979,6,1979.46,0.3264717800325343,1.5043979779111845
1980,6,1980.46,0.27205489214384215,1.6285981312657003
1981,6,1981.46,0.08754357408929536,1.524789301588632
1982,6,1982.46,0.06119729064084822,1.4474293632325155
1983,6,1983.46,0.09568377172331566,1.3035363968314244
1984,6,1984.46,0.10467807251825434,1.1468450594628332
1985,6,1985.46,0.44430455596398133,1.272716343253685
1986,6,1986.46,1.1215985997828284,1.3882186720352785
1987,6,1987.46,0.8480432324697063,1.289035981692537
1988,6,1988.46,0.9072042224129291,1.2524684954210898
1989,6,1989.46,0.8550210316204669,1.3570475119479866
1990,6,1990.46,0.8759042694191095,1.3309487233478636
1991,6,1991.46,0.7858205441736672,1.4341334200171156
1992,6,1992.46,0.7950727727718873,1.4514941329958182
1993,6,1993.46,1.123960426474392,1.3757350384075608
1994,6,1994.46,1.464955389264059,1.340165398461489
1995,6,1995.46,2.5686050500271285,1.353192721763949
1996,6,1996.46,3.170879155758783,1.3706399818843629
1997,6,1997.46,4.5750170271878945,1.3699235924625495
1998,6,1998.46,5.443637436539724,1.4198129369834722
1999,6,1999.46,6.130671433139355,1.3642580418566828
2000,6,2000.46,7.266571114850426,1.4808883510595194
2001,6,2001.46,8.905382550982436,1.4684466077781877
2002,6,2002.46,10.147886852334777,1.4980898645533802
2003,6,2003.46,10.853041213082653,1.4414199075931684
2004,6,2004.46,11.68722228970765,0.8203002456150879
2005,6,2005.46,13.612783036625421,0.8233262408910732
2006,6,2006.46,15.35409679838616,0.8322379181122822
2007,6,2007.46,16.038042146906015,0.8575475146990525
2008,6,2008.46,18.357246199183553,1.0063244755415175
2009,6,2009.46,18.625548813214525,1.0640334478318318
2010,6,2010.46,20.410371405860165,1.1678165816054198
2011,6,2011.46,21.534007063893487,1.2184993386145522
2012,6,2012.46,23.181296126926423,1.267315736204523
2013,6,2013.46,24.3098194066835,1.3465104240241752
2014,6,2014.46,25.901894940665937,1.4394495939989025
2015,6,2015.46,27.724125313699385,1.5521878936075844
2016,6,2016.46,29.602005517632605,1.6644071485591425
2017,6,2017.46,30.62735866561134,1.7145919752544212
2018,6,2018.46,30.278002883249385,1.855849377215178
2019,6,2019.46,30.999057772135686,1.8514296239461339
2020,6,2020.46,31.39962605574756,1.9940524819353118
2021,6,2021.46,33.07126162598256,2.042564714054607
2022,6,2022.46,33.60101933157253,2.1498156441360354
2023,6,2023.46,34.995875801703804,2.3336933503561377
2024,6,2024.46,35.41739725768737,3.4939566676781393
